t2814749767106560	auto
t1973601997029376	taobaoCategory>床上用品/布艺软饰>防尘罩/沙发套/空调罩
t1973602010529792	taobaoCategory>品牌手表/流行手表
t1973602011512832	taobaoCategory>书籍/杂志/报纸>淘宝网开店书籍专区
t1973602012495872	taobaoCategory>电子词典/电纸书/文化用品>胶粘用品
t1973602012889088	taobaoCategory>电子词典/电纸书/文化用品>装订用品
t1973602013609984	taobaoCategory>电子词典/电纸书/文化用品>裁剪用品
t1973602013937664	taobaoCategory>电子词典/电纸书/文化用品>教学演示/展示告示用品
t1973602014199808	taobaoCategory>电子词典/电纸书/文化用品>绘图测量用品
t1973602014265344	taobaoCategory>电子词典/电纸书/文化用品>日常学习用品
t1973602015313920	taobaoCategory>传统滋补营养品>蜂蜜/蜂产品
t1973602021474304	taobaoCategory>男装>工装制服
t1973602024882176	taobaoCategory>家居饰品>无框画挂钟
t1973602026586112	taobaoCategory>传统滋补营养品>参类保健品
t1973602027044864	taobaoCategory>尿片/洗护/喂哺/推车床>防撞/提醒/安全/保护
t1973602027634688	taobaoCategory>孕妇装/孕产妇用品/营养>妈咪包/袋
t1973602029993984	taobaoCategory>孕妇装/孕产妇用品/营养>待删勿在此发布-营
t1973602030190592	taobaoCategory>孕妇装/孕产妇用品/营养>妈妈产前产后用品
t1973602031501312	taobaoCategory>尿片/洗护/喂哺/推车床>背带/学步带/出行用品
t1973602034843648	taobaoCategory>安防/监控>监控摄像机支架
t1973602036809728	taobaoCategory>床上用品/布艺软饰>其它
t1973602044411904	taobaoCategory>童装/童鞋/亲子装>其它
t1973602048606208	taobaoCategory>住宅家具>宜家IKEA
t1973602063482880	taobaoCategory>生活电器>超声波/蒸汽清洁机
t1973602064793600	taobaoCategory>居家日用/婚庆/创意礼品>鞋用品
t1973602068398080	taobaoCategory>童装/童鞋/亲子装>帽子/围巾/口罩/手套/耳套/脚套
t1973602068463616	taobaoCategory>童装/童鞋/亲子装>婴童袜子
t1973602077900800	taobaoCategory>安防/监控>监控采集卡
t1973602077966336	taobaoCategory>安防/监控>监控摄像机配件
t1973602078031872	taobaoCategory>安防/监控>其它监控配件
t1973602085371904	taobaoCategory>箱包皮具/热销女包/男包
t1973602085437440	taobaoCategory>女鞋
t1973602085634048	taobaoCategory>女士内衣/男士内衣/家居服>短袜/打底袜/丝袜/美腿袜
t1973602086092800	taobaoCategory>手机号码/套餐/增值业务>3G无线上网资费卡
t1973602088189952	taobaoCategory>厨房/餐饮用具>杯子/水杯/水壶
t1973602095923200	taobaoCategory>服饰配件/皮带/帽子/围巾>围巾/丝巾/披肩
t1973602096381952	taobaoCategory>鲜花速递/花卉仿真/绿植园艺>园艺用品
t1973602103328768	taobaoCategory>玩具/模型/动漫/早教/益智>电动/遥控/惯性/发条玩具
t1973602107850752	taobaoCategory>腾讯QQ专区>QQ音速
t1973602109489152	taobaoCategory>腾讯QQ专区>QQ游戏币/欢乐豆
t1973602109554688	taobaoCategory>腾讯QQ专区>QQ游戏大厅道具
t1973602109620224	taobaoCategory>腾讯QQ专区>QQ增值服务
t1973602109882368	taobaoCategory>鲜花速递/花卉仿真/绿植园艺
t1973602110013440	taobaoCategory>办公设备/耗材/相关服务
t1973602119254016	taobaoCategory>网络游戏点卡>K-口袋西游点卡
t1973602119385088	taobaoCategory>网络游戏点卡>M-魔兽世界点卡
t1973602119843840	taobaoCategory>网络游戏点卡>R-热血江湖点卡
t1973602119974912	taobaoCategory>网络游戏点卡>J-街头篮球点卡
t1973602120105984	taobaoCategory>网络游戏点卡>Z-征途点卡
t1973602120433664	taobaoCategory>网络游戏点卡>Z-征服点卡
t1973602120630272	taobaoCategory>网络游戏点卡>M-魔域点卡
t1973602120695808	taobaoCategory>网络游戏点卡>S-神泣点卡
t1973602120957952	taobaoCategory>网络游戏点卡>Y-永恒之塔点卡
t1973602121285632	taobaoCategory>网络游戏点卡>X-寻仙点卡
t1973602121613312	taobaoCategory>网络游戏点卡>M-冒险岛点卡
t1973602121678848	taobaoCategory>网络游戏点卡>B-霸王点卡
t1973602121809920	taobaoCategory>网络游戏点卡>C-传奇世界点卡
t1973602121875456	taobaoCategory>网络游戏点卡>H-华夏2点卡
t1973602121940992	taobaoCategory>网络游戏点卡>Q-奇迹点卡
t1973602122072064	taobaoCategory>网络游戏点卡>W-完美世界点卡
t1973602122137600	taobaoCategory>网络游戏点卡>W-问道点卡
t1973602122268672	taobaoCategory>网络游戏点卡>J-剑侠情缘2点卡
t1973602122399744	taobaoCategory>网络游戏点卡>S-丝路传说点卡
t1973602122465280	taobaoCategory>网络游戏点卡>G-鬼吹灯外传点卡
t1973602122530816	taobaoCategory>网络游戏点卡>J-惊天动地点卡
t1973602122596352	taobaoCategory>网络游戏点卡>D-大话西游2点卡
t1973602122661888	taobaoCategory>网络游戏点卡>Q-QQ幻想点卡
t1973602122792960	taobaoCategory>网络游戏点卡>D-刀剑英雄点卡
t1973602122858496	taobaoCategory>网络游戏点卡>B-飚车点卡
t1973602122989568	taobaoCategory>网络游戏点卡>C-超级舞者点卡
t1973602123055104	taobaoCategory>网络游戏点卡>J-巨人点卡
t1973602123120640	taobaoCategory>网络游戏点卡>T-天龙八部3点卡
t1973602123251712	taobaoCategory>网络游戏点卡>D-大航海时代点卡
t1973602123317248	taobaoCategory>网络游戏点卡>D-大唐豪侠点卡
t1973602123644928	taobaoCategory>网络游戏点卡>J-剑侠世界点卡
t1973602123710464	taobaoCategory>网络游戏点卡>Z-征途怀旧版点卡
t1973602123776000	taobaoCategory>网络游戏点卡>D-地下城与勇士点卡
t1973602124038144	taobaoCategory>网络游戏点卡>F-封神榜点卡
t1973602124103680	taobaoCategory>网络游戏点卡>F-反恐精英OL点卡
t1973602124234752	taobaoCategory>网络游戏点卡>J-劲舞团点卡
t1973602124300288	taobaoCategory>网络游戏点卡>X-新飞飞点卡
t1973602124365824	taobaoCategory>网络游戏点卡>P-跑跑卡丁车点卡
t1973602124431360	taobaoCategory>网络游戏点卡>J-剑侠情缘网络版3点卡
t1973602124496896	taobaoCategory>网络游戏点卡>D-大明龙权点卡
t1973602124562432	taobaoCategory>网络游戏点卡>H-海盗王点卡
t1973602124693504	taobaoCategory>网络游戏点卡>E-EVE点卡
t1973602124759040	taobaoCategory>网络游戏点卡>F-风云点卡
t1973602124890112	taobaoCategory>网络游戏点卡>GT劲舞团2点卡
t1973602124955648	taobaoCategory>网络游戏点卡>L-洛奇点卡
t1973602125021184	taobaoCategory>网络游戏点卡>S-蜀门Online点卡
t1973602125217792	taobaoCategory>网络游戏点卡>Q-QQ飞车点卡
t1973602125283328	taobaoCategory>网络游戏点卡>Z-征途时间版点卡
t1973602125348864	taobaoCategory>网络游戏点卡>L-绿色征途点卡
t1973602125414400	taobaoCategory>网络游戏点卡>M-梦幻诛仙点卡
t1973602125479936	taobaoCategory>网络游戏点卡>M-梦幻龙族点卡
t1973602125611008	taobaoCategory>网络游戏点卡>C-彩虹岛点卡
t1973602125742080	taobaoCategory>网络游戏点卡>S-三国群英传点卡
t1973602125807616	taobaoCategory>网络游戏点卡>W-完美世界国际版点卡
t1973602126004224	taobaoCategory>网络游戏点卡>Q-千年3点卡
t1973602126135296	taobaoCategory>网络游戏点卡>L-龙点卡
t1973602126200832	taobaoCategory>网络游戏点卡>C-成吉思汗2点卡
t1973602126266368	taobaoCategory>网络游戏点卡>SD敢达online点卡
t1973602126331904	taobaoCategory>网络游戏点卡>S-神鬼传奇点卡
t1973602126397440	taobaoCategory>网络游戏点卡>T-天下叁点卡
t1973602126528512	taobaoCategory>网络游戏点卡>M-梦想世界点卡
t1973602126594048	taobaoCategory>网络游戏点卡>Y-倚天2点卡
t1973602126725120	taobaoCategory>网络游戏点卡>S-兽血沸腾点卡
t1973602126790656	taobaoCategory>网络游戏点卡>Z-征途2S点卡
t1973602126921728	taobaoCategory>网络游戏点卡>D-大唐无双点卡
t1973602126987264	taobaoCategory>网络游戏点卡>C-冲锋岛点卡
t1973602127118336	taobaoCategory>网络游戏点卡>T-天堂2点卡
t1973602127249408	taobaoCategory>网络游戏点卡>M-魔力宝贝点卡
t1973602127380480	taobaoCategory>网络游戏点卡>T-天骄2点卡
t1973602131574784	taobaoCategory>网游物品>S-水浒Q传游戏币
t1973602134982656	taobaoCategory>网络游戏点卡>X-仙剑OL点卡
t1973602139242496	taobaoCategory>网络游戏点卡>W-武林外传点卡
t1973602139635712	taobaoCategory>网络游戏点卡>R-热血传奇点卡
t1973602139963392	taobaoCategory>网络游戏点卡>M-梦幻西游点卡
t1973602146648064	taobaoCategory>网络游戏点卡>S-三国策点卡
t1973602146779136	taobaoCategory>网络游戏点卡>其他游戏点卡
t1973602147172352	taobaoCategory>网络游戏点卡>网游充值平台（平台加款卡）
t1973602147631104	taobaoCategory>网络游戏点卡>Q-起点点卡
t1973602147696640	taobaoCategory>网络游戏点卡>V-VS竞技平台VIP/点卡
t1973602148155392	taobaoCategory>网络游戏点卡>X-新奇迹世界点卡
t1973602148483072	taobaoCategory>网络游戏点卡>H-黄金岛点卡
t1973602148810752	taobaoCategory>网络游戏点卡>C-赤壁点卡
t1973602149138432	taobaoCategory>网络游戏点卡>L-浪漫庄园点卡
t1973602149597184	taobaoCategory>网络游戏点卡>C-CGA浩方点卡
t1973602149793792	taobaoCategory>网络游戏点卡>Q-QQ华夏点卡
t1973602150252544	taobaoCategory>网络游戏点卡>Z-诛仙前传点卡
t1973602150318080	taobaoCategory>网络游戏点卡>X-新浪IGame点卡
t1973602150776832	taobaoCategory>网络游戏点卡>X-星尘传说点卡
t1973602150842368	taobaoCategory>网络游戏点卡>Z-中国游戏中心点卡
t1973602151301120	taobaoCategory>网络游戏点卡>D-东邪西毒
t1973602151366656	taobaoCategory>网络游戏点卡>B-边锋点卡
t1973602151825408	taobaoCategory>网络游戏点卡>C-春秋Q传点卡
t1973602152022016	taobaoCategory>网络游戏点卡>L-联众世界点卡
t1973602152284160	taobaoCategory>网络游戏点卡>X-侠义道II点卡
t1973602152611840	taobaoCategory>网络游戏点卡>Q-QQ三国点卡
t1973602153005056	taobaoCategory>网络游戏点卡>C-传世群英传点卡
t1973602153070592	taobaoCategory>网络游戏点卡>X-星际争霸2
t1973602153594880	taobaoCategory>网络游戏点卡>C-传奇外传点卡
t1973602153857024	taobaoCategory>网络游戏点卡>S-蜀山OL点卡
t1973602154774528	taobaoCategory>网络游戏点卡>M-名将三国点卡
t1973602155560960	taobaoCategory>网络游戏点卡>网页游戏点卡
t1973602155954176	taobaoCategory>网络游戏点卡>D-大海战II点卡
t1973602156347392	taobaoCategory>网络游戏点卡>W-武神点卡
t1973602156740608	taobaoCategory>网络游戏点卡>K-抗战英雄传点卡
t1973602157133824	taobaoCategory>网络游戏点卡>L-龙之谷点卡
t1973602157527040	taobaoCategory>网络游戏点卡>C-传奇归来点卡
t1973602157920256	taobaoCategory>网络游戏点卡>D-大话西游之战歌点卡
t1973602158313472	taobaoCategory>网络游戏点卡>J-剑侠情缘网络版点卡
t1973602158706688	taobaoCategory>网络游戏点卡>X-仙途点卡
t1973602159099904	taobaoCategory>网络游戏点卡>P-泡泡堂点卡
t1973602159493120	taobaoCategory>网络游戏点卡>M-梦幻国度点卡
t1973602159886336	taobaoCategory>网络游戏点卡>Z-诸侯Online点卡
t1973602160279552	taobaoCategory>网络游戏点卡>Q-QQ自由幻想点卡
t1973602160672768	taobaoCategory>网络游戏点卡>P-破天一剑点卡
t1973602161065984	taobaoCategory>网络游戏点卡>R-热舞派对II点卡
t1973602161459200	taobaoCategory>网络游戏点卡>D-大话西游3点卡
t1973602161852416	taobaoCategory>网络游戏点卡>Z-真三国无双OL点卡
t1973602162245632	taobaoCategory>网络游戏点卡>T-吞食天地点卡
t1973602162638848	taobaoCategory>网络游戏点卡>C-穿越火线点卡
t1973602163032064	taobaoCategory>网络游戏点卡>W-舞街区点卡
t1973602163490816	taobaoCategory>网络游戏点卡>X-（蓝港）西游记点卡
t1973602163818496	taobaoCategory>网络游戏点卡>X-新英雄年代点卡
t1973602164146176	taobaoCategory>传统滋补营养品>燕窝
t1973602164277248	taobaoCategory>传统滋补营养品>冬虫夏草
t1973602164473856	taobaoCategory>腾讯QQ专区>Q点
t1973602164867072	taobaoCategory>零食/坚果/特产>巧克力/DIY巧克力
t1973602166177792	taobaoCategory>餐饮美食/面包券
t1973602167160832	taobaoCategory>3C数码配件
t1973602170503168	taobaoCategory>茶/酒/冲饮>酒类
t1973602171944960	taobaoCategory>床上用品/布艺软饰
t1973602172010496	taobaoCategory>住宅家具
t1973602172076032	taobaoCategory>童装/童鞋/亲子装
t1973602179219456	taobaoCategory>住宅家具>架类
t1973602179284992	taobaoCategory>居家日用/婚庆/创意礼品>钟
t1973602179612672	taobaoCategory>住宅家具>桌类
t1973602179678208	taobaoCategory>厨房/餐饮用具>厨用小工具/厨房储物
t1973602182299648	taobaoCategory>家装主材>其它
t1973602184265728	taobaoCategory>台式机/一体机/服务器>台式整机
t1973602184331264	taobaoCategory>办公设备/耗材/相关服务>投影机配件
t1973602189443072	taobaoCategory>零食/坚果/特产>奶酪/乳制品/
t1973602192850944	taobaoCategory>3C数码配件>数码相框
t1973602195865600	taobaoCategory>玩具/模型/动漫/早教/益智>棋牌/桌面游戏
t1973602196783104	taobaoCategory>生活电器>电话机(有绳/无绳/网络)
t1973602196848640	taobaoCategory>厨房电器>其它厨房家电
t1973602196914176	taobaoCategory>生活电器>其它生活家电
t1973602196979712	taobaoCategory>个人护理/保健/按摩器材>美容/美体辅助工具
t1973602197176320	taobaoCategory>个人护理/保健/按摩器材>美体瘦身
t1973602197372928	taobaoCategory>办公设备/耗材/相关服务>传真/通信设备
t1973602197438464	taobaoCategory>生活电器>电熨斗
t1973602197504000	taobaoCategory>生活电器>蒸汽刷/干洗刷
t1973602197569536	taobaoCategory>生活电器>吸尘器
t1973602197635072	taobaoCategory>生活电器>扫地机
t1973602197700608	taobaoCategory>厨房电器>豆浆机
t1973602197766144	taobaoCategory>生活电器>电风扇
t1973602198159360	taobaoCategory>生活电器>对讲机
t1973602199470080	taobaoCategory>古董/邮币/字画/收藏>西洋收藏品
t1973602200846336	taobaoCategory>宠物/宠物食品及用品>鸟类及用品
t1973602201436160	taobaoCategory>零食/坚果/特产>牛肉干/猪肉脯/肉类熟食
t1973602202025984	taobaoCategory>宠物/宠物食品及用品>爬虫/鸣虫及其用品
t1973602206875648	taobaoCategory>家装主材>配件专区
t1973602208382976	taobaoCategory>古董/邮币/字画/收藏>礼品类收藏品
t1973602208776192	taobaoCategory>家装主材>二手/闲置专区
t1973602209562624	taobaoCategory>玩具/模型/动漫/早教/益智>玩具模型零件/工具/耗材/辅件
t1973602210217984	taobaoCategory>玩具/模型/动漫/早教/益智>配件/遥控设备
t1973602211004416	taobaoCategory>电脑硬件/显示器/电脑周边>组装液晶显示器
t1973602218278912	taobaoCategory>电子词典/电纸书/文化用品>电子辞典/学习机
t1973602218672128	taobaoCategory>玩具/模型/动漫/早教/益智>早教/音乐/智能玩具
t1973602218999808	taobaoCategory>女士内衣/男士内衣/家居服>文胸
t1973602219065344	taobaoCategory>女士内衣/男士内衣/家居服>内裤
t1973602219130880	taobaoCategory>女士内衣/男士内衣/家居服>文胸套装
t1973602219196416	taobaoCategory>女士内衣/男士内衣/家居服>塑身美体衣
t1973602219261952	taobaoCategory>女士内衣/男士内衣/家居服>保暖上装
t1973602219327488	taobaoCategory>女士内衣/男士内衣/家居服>睡衣上装
t1973602219458560	taobaoCategory>女士内衣/男士内衣/家居服>抹胸
t1973602219524096	taobaoCategory>女士内衣/男士内衣/家居服>乳贴
t1973602219589632	taobaoCategory>女士内衣/男士内衣/家居服>肚兜
t1973602220048384	taobaoCategory>女装/女士精品>西装
t1973602220113920	taobaoCategory>女装/女士精品>卫衣/绒衫
t1973602220179456	taobaoCategory>女装/女士精品>羽绒服
t1973602220244992	taobaoCategory>女装/女士精品>棉衣/棉服
t1973602220310528	taobaoCategory>女装/女士精品>风衣
t1973602220507136	taobaoCategory>女装/女士精品>皮衣
t1973602220572672	taobaoCategory>女装/女士精品>皮草
t1973602220638208	taobaoCategory>女装/女士精品>唐装/民族服装/舞台服装
t1973602220703744	taobaoCategory>手机号码/套餐/增值业务
t1973602228895744	taobaoCategory>服饰配件/皮带/帽子/围巾>腰带/皮带/腰链
t1973602228961280	taobaoCategory>服饰配件/皮带/帽子/围巾>制衣面料
t1973602229092352	taobaoCategory>服饰配件/皮带/帽子/围巾>手帕
t1973602229223424	taobaoCategory>服饰配件/皮带/帽子/围巾>耳套
t1973602229878784	taobaoCategory>服饰配件/皮带/帽子/围巾>其他配件
t1973602233942016	taobaoCategory>安防/监控>硬盘录像机
t1973602234007552	taobaoCategory>安防/监控>监视器
t1973602234138624	taobaoCategory>安防/监控>画面处理器
t1973602234269696	taobaoCategory>安防/监控>监控云台
t1973602234335232	taobaoCategory>安防/监控>监控镜头
t1973602234597376	taobaoCategory>安防/监控>监控解码器
t1973602236366848	taobaoCategory>清洁/卫浴/收纳/整理用具>个人洗护清洁用具
t1973602240299008	taobaoCategory>居家日用/婚庆/创意礼品>家用五金工具
t1973602240626688	taobaoCategory>3C数码配件>移动电源
t1973602247639040	taobaoCategory>安防/监控>报警遥控器
t1973602249015296	taobaoCategory>鲜花速递/花卉仿真/绿植园艺>婚礼鲜花布置
t1973602250457088	taobaoCategory>鲜花速递/花卉仿真/绿植园艺>花瓶/花器/花盆/花架
t1973602250653696	taobaoCategory>安防/监控>报警主机
t1973602250719232	taobaoCategory>安防/监控>其它报警设备
t1973602260942848	taobaoCategory>尿片/洗护/喂哺/推车床>水杯/餐具/研磨/附件
t1973602261008384	taobaoCategory>尿片/洗护/喂哺/推车床>奶瓶
t1973602261073920	taobaoCategory>尿片/洗护/喂哺/推车床>奶嘴(单卖)
t1973602262122496	taobaoCategory>玩具/模型/动漫/早教/益智>聚会装饰
t1973602263236608	taobaoCategory>零食/坚果/特产>鱿鱼丝/鱼干/海味即食
t1973602264678400	taobaoCategory>服饰配件/皮带/帽子/围巾>围巾/手套/帽子套件
t1973602280603648	taobaoCategory>粮油米面/南北干货/调味品>调味品/果酱/沙拉
t1973602281652224	taobaoCategory>粮油米面/南北干货/调味品>米/面粉/杂粮
t1973602282962944	taobaoCategory>茶/酒/冲饮>藕粉/麦片/冲饮品
t1973602291023872	taobaoCategory>传统滋补营养品>三七
t1973602295021568	taobaoCategory>床上用品/布艺软饰>布艺蛋糕/蛋糕毛巾
t1973602298822656	taobaoCategory>居家日用/婚庆/创意礼品>伞/雨具/防雨/防潮
t1973602298953728	taobaoCategory>厨房/餐饮用具>烹饪用具
t1973602299084800	taobaoCategory>床上用品/布艺软饰>毛巾/浴巾/浴袍
t1973602299150336	taobaoCategory>古董/邮币/字画/收藏>现当代艺术品
t1973602302689280	taobaoCategory>男装>夹克
t1973602302754816	taobaoCategory>男装>卫衣
t1973602302820352	taobaoCategory>男装>西服
t1973602303279104	taobaoCategory>男装>牛仔裤
t1973602315665408	taobaoCategory>家居饰品>工艺船
t1973602316451840	taobaoCategory>ZIPPO/瑞士军刀/眼镜>太阳眼镜
t1973602318024704	taobaoCategory>孕妇装/孕产妇用品/营养>孕产妇奶粉
t1973602318155776	taobaoCategory>女士内衣/男士内衣/家居服>吊带/背心/T恤
t1973602318680064	taobaoCategory>男装>Polo衫
t1973602318811136	taobaoCategory>服饰配件/皮带/帽子/围巾
t1973602318942208	taobaoCategory>服饰配件/皮带/帽子/围巾>鞋包/皮带配件
t1973602319204352	taobaoCategory>服饰配件/皮带/帽子/围巾>手套
t1973602322743296	taobaoCategory>居家日用/婚庆/创意礼品>扇/迷你风扇/配件/冰垫/冰贴
t1973602324119552	taobaoCategory>书籍/杂志/报纸>期刊杂志
t1973602326282240	taobaoCategory>童装/童鞋/亲子装>卫衣/绒衫
t1973602326675456	taobaoCategory>童装/童鞋/亲子装>马甲
t1973602326806528	taobaoCategory>童装/童鞋/亲子装>羽绒服/羽绒内胆
t1973602326872064	taobaoCategory>童装/童鞋/亲子装>衬衫
t1973602327068672	taobaoCategory>童装/童鞋/亲子装>披风/斗篷
t1973602327134208	taobaoCategory>童装/童鞋/亲子装>棉袄/棉服
t1973602327527424	taobaoCategory>童装/童鞋/亲子装>连身衣/爬服/哈衣
t1973602327658496	taobaoCategory>童装/童鞋/亲子装>毛衣/针织衫
t1973602327724032	taobaoCategory>童装/童鞋/亲子装>套装
t1973602328379392	taobaoCategory>零食/坚果/特产>饼干/糕点/小点心/膨化
t1973602329427968	taobaoCategory>水产肉类/新鲜蔬果/熟食>新鲜蔬菜/蔬菜制品
t1973602329493504	taobaoCategory>个人护理/保健/按摩器材>清洁美容工具
t1973602331983872	taobaoCategory>台式机/一体机/服务器>服务器/Server
t1973602332246016	taobaoCategory>网游装备/游戏币/帐号/代练>激活码测试号专区
t1973602332508160	taobaoCategory>台式机/一体机/服务器>工作站
t1973602337292288	taobaoCategory>网店/网络服务/软件>电脑软件
t1973602337488896	taobaoCategory>书籍/杂志/报纸>低于5元专区
t1973602337947648	taobaoCategory>粮油米面/南北干货/调味品>烘焙原料/辅料/食品添加剂
t1973602340044800	taobaoCategory>运动/瑜伽/健身/球迷用品
t1973602340241408	taobaoCategory>电子词典/电纸书/文化用品>电子阅览器/电纸书
t1973602341158912	taobaoCategory>运动/瑜伽/健身/球迷用品>其他赛事纪念品
t1973602341421056	taobaoCategory>运动/瑜伽/健身/球迷用品>其它运动用品
t1973602341945344	taobaoCategory>办公设备/耗材/相关服务>其它办公设备
t1973602343976960	taobaoCategory>彩妆/香水/美妆工具
t1973602344042496	taobaoCategory>彩妆/香水/美妆工具>粉底液/膏
t1973602344108032	taobaoCategory>彩妆/香水/美妆工具>粉饼
t1973602344239104	taobaoCategory>彩妆/香水/美妆工具>蜜粉/散粉
t1973602344304640	taobaoCategory>彩妆/香水/美妆工具>隔离/妆前/打底
t1973602344370176	taobaoCategory>彩妆/香水/美妆工具>睫毛膏/睫毛增长液
t1973602344501248	taobaoCategory>彩妆/香水/美妆工具>眼影
t1973602344566784	taobaoCategory>彩妆/香水/美妆工具>眼线
t1973602344632320	taobaoCategory>彩妆/香水/美妆工具>眉笔/眉粉/眉膏
t1973602344763392	taobaoCategory>彩妆/香水/美妆工具>双眼皮贴/胶水
t1973602344828928	taobaoCategory>彩妆/香水/美妆工具>唇笔/唇线笔
t1973602344960000	taobaoCategory>彩妆/香水/美妆工具>遮瑕
t1973602345091072	taobaoCategory>彩妆/香水/美妆工具>腮红/胭脂
t1973602345222144	taobaoCategory>彩妆/香水/美妆工具>唇彩/唇蜜
t1973602345287680	taobaoCategory>彩妆/香水/美妆工具>唇膏/口红
t1973602345418752	taobaoCategory>彩妆/香水/美妆工具>指甲油/美甲产品
t1973602345549824	taobaoCategory>彩妆/香水/美妆工具>彩妆套装/彩妆盘
t1973602345615360	taobaoCategory>彩妆/香水/美妆工具>身体彩绘
t1973602345680896	taobaoCategory>彩妆/香水/美妆工具>其它彩妆
t1973602345746432	taobaoCategory>彩妆/香水/美妆工具>香水
t1973602345877504	taobaoCategory>彩妆/香水/美妆工具>化妆/美容工具
t1973602346598400	taobaoCategory>运动/瑜伽/健身/球迷用品>跳舞毯
t1973602348040192	taobaoCategory>女装/女士精品>连衣裙
t1973602350661632	taobaoCategory>腾讯QQ专区>点亮QQ图标
t1973602352365568	taobaoCategory>网游装备/游戏币/帐号/代练>网页游戏物品/资源
t1973602353676288	taobaoCategory>彩妆/香水/美妆工具>修颜/高光/阴影粉
t1973602358919168	taobaoCategory>书籍/杂志/报纸>二手/闲置书
t1973602365931520	taobaoCategory>男装>衬衫
t1973602366193664	taobaoCategory>男装>皮裤
t1973602366324736	taobaoCategory>男装>西裤
t1973602366390272	taobaoCategory>男装>西服套装
t1973602367700992	taobaoCategory>其他>其它
t1973602367897600	taobaoCategory>男装>背心/马甲
t1973602368290816	taobaoCategory>男装>风衣
t1973602368421888	taobaoCategory>男装>皮衣
t1973602368684032	taobaoCategory>男装>棉衣
t1973602368815104	taobaoCategory>男装>羽绒服
t1973602374713344	taobaoCategory>音乐/影视/明星/音像>育儿/儿童教育音像
t1973602376024064	taobaoCategory>女装/女士精品>短外套
t1973602383888384	taobaoCategory>珠宝/钻石/翡翠/黄金
t1973602383953920	taobaoCategory>珠宝/钻石/翡翠/黄金>钻石
t1973602384019456	taobaoCategory>珠宝/钻石/翡翠/黄金>翡翠
t1973602384084992	taobaoCategory>珠宝/钻石/翡翠/黄金>黄金K金
t1973602384150528	taobaoCategory>珠宝/钻石/翡翠/黄金>铂金/PT
t1973602384216064	taobaoCategory>珠宝/钻石/翡翠/黄金>红蓝宝石/贵重宝石
t1973602384347136	taobaoCategory>女装/女士精品>婚纱/旗袍/礼服
t1973602394243072	taobaoCategory>新车/二手车>二手整车
t1973602394308608	taobaoCategory>运动/瑜伽/健身/球迷用品>羽毛球
t1973602401320960	taobaoCategory>珠宝/钻石/翡翠/黄金>专柜swarovski水晶
t1973602401452032	taobaoCategory>网游装备/游戏币/帐号/代练
t1973602403680256	taobaoCategory>运动服/运动包/颈环配件
t1973602404007936	taobaoCategory>运动服/运动包/颈环配件>运动毛衣/线衫
t1973602404859904	taobaoCategory>运动服/运动包/颈环配件>运动卫衣/套头衫
t1973602404925440	taobaoCategory>运动服/运动包/颈环配件>运动风衣
t1973602405056512	taobaoCategory>运动服/运动包/颈环配件>运动棉衣
t1973602405122048	taobaoCategory>运动服/运动包/颈环配件>运动羽绒服
t1973602405646336	taobaoCategory>服饰配件/皮带/帽子/围巾>运动颈环/手环/指环
t1973602406301696	taobaoCategory>运动服/运动包/颈环配件>运动茄克/外套
t1973602406367232	taobaoCategory>流行男鞋
t1973602406563840	taobaoCategory>流行男鞋>靴子
t1973602406629376	taobaoCategory>流行男鞋>帆布鞋
t1973602406694912	taobaoCategory>流行男鞋>凉鞋
t1973602406760448	taobaoCategory>流行男鞋>拖鞋
t1973602407088128	taobaoCategory>网游装备/游戏币/帐号/代练>游戏装备
t1973602407153664	taobaoCategory>网游装备/游戏币/帐号/代练>游戏币
t1973602407219200	taobaoCategory>网游装备/游戏币/帐号/代练>游戏帐号
t1973602407284736	taobaoCategory>网游装备/游戏币/帐号/代练>游戏代练
t1973602410430464	taobaoCategory>孕妇装/孕产妇用品/营养>防辐射服
t1973602411216896	taobaoCategory>移动/联通/电信充值中心>电信话费充值卡
t1973602412003328	taobaoCategory>3C数码配件>家电影音周边配件
t1973602414493696	taobaoCategory>孕妇装/孕产妇用品/营养>早孕检测
t1973602414624768	taobaoCategory>影音电器>影音家电配件
t1973602415345664	taobaoCategory>个人护理/保健/按摩器材>各类配件
t1973602416066560	taobaoCategory>ZIPPO/瑞士军刀/眼镜>眼镜配件、护理剂
t1973602416328704	taobaoCategory>ZIPPO/瑞士军刀/眼镜>框架眼镜
t1973602416394240	taobaoCategory>ZIPPO/瑞士军刀/眼镜>功能眼镜
t1973602416459776	taobaoCategory>ZIPPO/瑞士军刀/眼镜>眼镜架
t1973602416525312	taobaoCategory>ZIPPO/瑞士军刀/眼镜>眼镜片
t1973602416590848	taobaoCategory>ZIPPO/瑞士军刀/眼镜>滴眼液、护眼用品
t1973602420064256	taobaoCategory>特价酒店/特色客栈/公寓旅馆
t1973602420195328	taobaoCategory>旅行
t1973602420457472	taobaoCategory>旅行>国际机票
t1973602421571584	taobaoCategory>影音电器
t1973602421637120	taobaoCategory>影音电器>CD机/卡座/黑胶音源
t1973602421768192	taobaoCategory>玩具/模型/动漫/早教/益智>毛绒布艺类玩具
t1973602421899264	taobaoCategory>美容护肤/美体/精油>洁面
t1973602421964800	taobaoCategory>美容护肤/美体/精油>化妆水/爽肤水
t1973602422030336	taobaoCategory>美容护肤/美体/精油>面部精华
